successful_ticker,timestamp
PBI,2025-08-20 10:02:31
RBOT,2025-08-20 10:02:31
GCTK,2025-08-20 10:02:31
MSTR,2025-08-20 10:02:31
MGY,2025-08-20 10:02:31
CFFI,2025-08-20 10:02:31
MBC,2025-08-20 10:02:31
NGS,2025-08-20 10:02:31
CFG,2025-08-20 10:02:31
GRDN,2025-08-20 10:02:31
AME,2025-08-20 10:02:31
CHRW,2025-08-20 10:02:31
LU,2025-08-20 10:02:31
INBK,2025-08-20 10:02:31
RIO,2025-08-20 10:02:31
DDOG,2025-08-20 10:02:31
BSET,2025-08-20 10:02:31
HTB,2025-08-20 10:02:31
DK,2025-08-20 10:02:31
WLK,2025-08-20 10:02:31
KLG,2025-08-20 10:02:31
LBTYK,2025-08-20 10:02:31
NXRT,2025-08-20 10:02:31
HPQ,2025-08-20 10:02:31
OC,2025-08-20 10:02:31
INEO,2025-08-20 10:02:31
GM,2025-08-20 10:02:31
CL,2025-08-20 10:02:31
PEN,2025-08-20 10:02:31
NGVT,2025-08-20 10:02:31
EQR,2025-08-20 10:02:31
SXI,2025-08-20 10:02:31
GLW,2025-08-20 10:02:31
MTDR,2025-08-20 10:02:31
KD,2025-08-20 10:02:31
SA,2025-08-20 10:02:31
AROC,2025-08-20 10:02:31
PSA-PG,2025-08-20 10:02:31
ASB,2025-08-20 10:02:31
MTG,2025-08-20 10:02:31
WPC,2025-08-20 10:02:31
CPIX,2025-08-20 10:02:31
RH,2025-08-20 10:02:31
JUNS,2025-08-20 10:02:31
BHVN,2025-08-20 10:02:31
WT,2025-08-20 10:02:31
ALEX,2025-08-20 10:02:31
PFE,2025-08-20 10:02:31
BEPH,2025-08-20 10:02:31
FL,2025-08-20 10:02:31
BTI,2025-08-20 10:02:31
MTW,2025-08-20 10:02:31
AMCR,2025-08-20 10:02:31
MBIO,2025-08-20 10:02:31
RSI,2025-08-20 10:02:31
WM,2025-08-20 10:02:31
STEL,2025-08-20 10:02:31
ASRV,2025-08-20 10:02:31
NGL,2025-08-20 10:02:31
NIQ,2025-08-20 10:02:31
NKE,2025-08-20 10:02:31
BKD,2025-08-20 10:02:31
CLW,2025-08-20 10:02:31
CPA,2025-08-20 10:02:31
MYRG,2025-08-20 10:02:31
RL,2025-08-20 10:02:31
EVTL,2025-08-20 10:02:31
BF-A,2025-08-20 10:02:31
EVER,2025-08-20 10:02:31
BDC,2025-08-20 10:02:31
LEXX,2025-08-20 10:02:31
BCAX,2025-08-20 10:02:31
EVH,2025-08-20 10:02:31
AXS-PE,2025-08-20 10:02:31
LINC,2025-08-20 10:02:31
AXL,2025-08-20 10:02:31
BKH,2025-08-20 10:02:31
SPG,2025-08-20 10:02:31
BRO,2025-08-20 10:02:31
LHX,2025-08-20 10:02:31
BCS,2025-08-20 10:02:31
YOU,2025-08-20 10:02:31
SKM,2025-08-20 10:02:31
SWX,2025-08-20 10:02:31
SES,2025-08-20 10:02:31
NVRI,2025-08-20 10:02:31
DXC,2025-08-20 10:02:31
YETI,2025-08-20 10:02:31
EBR,2025-08-20 10:02:31
AX,2025-08-20 10:02:31
RITM,2025-08-20 10:02:31
PFS,2025-08-20 10:02:31
VIK,2025-08-20 10:02:31
NEE-PR,2025-08-20 10:02:31
EGY,2025-08-20 10:02:31
DWSN,2025-08-20 10:02:31
PGRE,2025-08-20 10:02:31
TSLX,2025-08-20 10:02:31
BROS,2025-08-20 10:02:31
PHR,2025-08-20 10:02:31
USPH,2025-08-20 10:02:31
UI,2025-08-20 10:02:31
BFAM,2025-08-20 10:02:31
CCO,2025-08-20 10:02:31
CLSK,2025-08-20 10:02:31
RBA,2025-08-20 10:02:31
SHG,2025-08-20 10:02:31
BCO,2025-08-20 10:02:31
MX,2025-08-20 10:02:31
KT,2025-08-20 10:02:31
