date,revenue,net_income,operating_income,gross_profit,total_assets,current_assets,total_liabilities,current_liabilities,stockholders_equity,cash,long_term_debt,cost_of_revenue,operating_expenses,research_development,income_tax_expense,pretax_income,interest_expense,interest_income,net_ppe,accumulated_depreciation,intangible_assets,goodwill,other_noncurrent_assets,accounts_payable,accounts_receivable,deferred_revenue,accrued_liabilities,depreciation_amortization,capital_expenditures,net_income_ttm,roe,roic,roa,gross_margin,operating_margin,net_margin,debt_to_equity,debt_to_assets,equity_multiplier,current_ratio,receivables_turnover,days_receivables,asset_turnover
2022-03-31,446357000.0,-101379000.0,-39439000.0,351954000.0,3319179000.0,2927374000.0,954433000.0,669104000.0,2364746000.0,2269411000.0,0.0,94403000.0,391393000.0,88601000.0,2023000.0,-99356000.0,594000.0,547000.0,41866000.0,69745000.0,3836000.0,1869000.0,95829000.0,27454000.0,256554000.0,218521000.0,150176000.0,4312000.0,15215000.0,-444233000.0,-21.30261930342924,-1.8536452618634074,-14.028342599604255,78.8503372860737,-8.835752547848472,-22.712537273975762,40.36090979750045,28.755092750345796,1.4036090979750044,4.375065759582965,2.1882712266579074,166.79833630927712,0.14095415959038515
2022-06-30,473010000.0,-179329000.0,-41745000.0,370786000.0,3282338000.0,2902439000.0,933514000.0,665742000.0,2348824000.0,2358393000.0,0.0,102224000.0,412531000.0,88171000.0,2588000.0,-176741000.0,670000.0,1472000.0,47644000.0,71385000.0,3836000.0,1869000.0,92198000.0,56798000.0,265826000.0,219441000.0,187568000.0,4312000.0,15215000.0,-484982000.0,-21.955879719868793,-1.9439624702782599,-15.255789315077713,78.38861757679541,-8.825394811949007,-37.91230629373587,39.74388885672149,28.440520141435773,1.3974388885672149,4.35970541140562,1.8592283382859298,196.318005961819,0.14879193256502118
2022-09-30,477880000.0,-123875000.0,-62191000.0,370269000.0,3318835000.0,2946610000.0,932220000.0,688350000.0,2386615000.0,2411290000.0,0.0,107611000.0,432460000.0,100863000.0,1096000.0,-122779000.0,1082000.0,5540000.0,57822000.0,74677000.0,3836000.0,1869000.0,94142000.0,59507000.0,343264000.0,189771000.0,164697000.0,4312000.0,15215000.0,-506720000.0,-21.866492788808525,-2.7760455980141705,-15.488535970834896,77.4815853352306,-13.013936553109568,-25.921779526240897,39.060342786750276,28.088772114311194,1.3906034278675028,4.280685697682864,1.8462762885164072,197.6952216037499,0.14607004992387473
2022-12-31,477880000.0,-123875000.0,-62191000.0,370269000.0,3461239000.0,3041577000.0,818802000.0,587941000.0,2565326000.0,2598540000.0,0.0,107611000.0,432460000.0,100863000.0,1096000.0,-122779000.0,1082000.0,5540000.0,69170000.0,82412000.0,35539000.0,37938000.0,150252000.0,44788000.0,258346000.0,183350000.0,172715000.0,4312000.0,15215000.0,-528458000.0,-21.763560990998187,-2.571745862332551,-15.754434286639313,77.4815853352306,-13.013936553109568,-25.921779526240897,31.918048622280367,23.65632653509336,1.3492394338965106,5.173269086523988,2.1273669004538482,171.5736011132502,0.14246598702071298
2023-03-31,525186000.0,16802000.0,4115000.0,417541000.0,3683138000.0,3256147000.0,879945000.0,601413000.0,2723733000.0,1264738000.0,0.0,107645000.0,413426000.0,90100000.0,1681000.0,20832000.0,1275000.0,20853000.0,63115000.0,85527000.0,33130000.0,37938000.0,141762000.0,4530000.0,254041000.0,229551000.0,174525000.0,8320000.0,4755000.0,-410277000.0,-16.125722440831534,0.14850352572774736,-11.718321235670993,79.50345211029996,0.7835319296401655,3.1992475046935756,32.30658071110494,23.89117649135058,1.3522390043370625,5.414161316765684,2.0571529294254742,177.4296868157186,0.15000349170138969
2023-06-30,533317000.0,28127000.0,10074000.0,426418000.0,3980264000.0,3576914000.0,945126000.0,685384000.0,2955474000.0,1055923000.0,0.0,106899000.0,416344000.0,99533000.0,2171000.0,30043000.0,1317000.0,30310000.0,54097000.0,90431000.0,30721000.0,37938000.0,149592000.0,4613000.0,375756000.0,260335000.0,184617000.0,8320000.0,4755000.0,-202821000.0,-7.647421015938395,0.3523920311042205,-5.585353568872423,79.9558236470992,1.8889328485684875,5.273974015454224,31.978829791769442,23.745309356364302,1.3467430266684803,5.218846661141783,1.6625061176903342,219.54806428446872,0.14686664641680763
2023-09-30,558159000.0,71505000.0,39983000.0,450237000.0,4193417000.0,3809397000.0,921520000.0,688925000.0,3190015000.0,1040310000.0,0.0,107922000.0,410254000.0,105708000.0,6530000.0,79969000.0,742000.0,36864000.0,50133000.0,95548000.0,28312000.0,37938000.0,143696000.0,9475000.0,430269000.0,223507000.0,174753000.0,8320000.0,4755000.0,-7441000.0,-0.2668636793188718,1.3211184488931982,-0.19810304553148644,80.66464932035495,7.163371010769333,12.81086572105798,28.887638459380284,21.97539619837474,1.3145446024548475,5.529479986936169,1.4431420508239468,252.92035513178143,0.14859964761565506
2023-12-31,558159000.0,71505000.0,39983000.0,450237000.0,4522425000.0,4138618000.0,961460000.0,746018000.0,3475561000.0,831047000.0,0.0,107922000.0,410254000.0,105708000.0,6530000.0,79969000.0,742000.0,36864000.0,47758000.0,102158000.0,25902000.0,37938000.0,153186000.0,12122000.0,364784000.0,246901000.0,222991000.0,8320000.0,4755000.0,187939000.0,6.222231933820315,1.2037779475081694,4.708088917569677,80.66464932035495,7.163371010769333,12.81086572105798,27.663447713908635,21.259832943608796,1.3012072007943465,5.547611451734409,1.7914688748736218,203.74342257313776,0.1398252732078905
2024-03-31,634338000.0,105530000.0,80881000.0,518082000.0,4807079000.0,4436064000.0,945907000.0,750553000.0,3775227000.0,520388000.0,0.0,116256000.0,437201000.0,110040000.0,4655000.0,110726000.0,742000.0,43352000.0,46906000.0,107716000.0,23493000.0,37938000.0,150402000.0,35634000.0,486986000.0,237195000.0,206034000.0,8438000.0,2664000.0,276667000.0,8.514193040117188,2.35404742787619,6.517312808376982,81.67286210190781,12.750457957744924,16.63624124678011,25.0556324162759,19.677375803476497,1.2733218426335688,5.910394069439467,1.7120509778995907,213.1945863246408,0.14942798281834258
2024-06-30,678134000.0,134126000.0,105339000.0,549572000.0,5191880000.0,4773510000.0,1054074000.0,806919000.0,4050524000.0,512659000.0,0.0,128562000.0,444233000.0,108781000.0,5189000.0,140759000.0,742000.0,46593000.0,43483000.0,111888000.0,21474000.0,37938000.0,161434000.0,67345000.0,659339000.0,278441000.0,195489000.0,8438000.0,2664000.0,382666000.0,10.923954017685988,2.8644552093012843,8.34409054197143,81.04179999823043,15.533655590193089,19.778686808211944,26.023151572487908,20.302356757089917,1.2817798388554171,5.91572388306633,1.310283597157749,278.56564852964163,0.14786815383622412
2024-09-30,725516000.0,143525000.0,113140000.0,578877000.0,5768097000.0,5351962000.0,1176735000.0,943456000.0,4498143000.0,768710000.0,0.0,146639000.0,465737000.0,117555000.0,7809000.0,157150000.0,742000.0,52120000.0,40345000.0,120088000.0,19487000.0,37938000.0,164220000.0,27021000.0,668110000.0,236608000.0,265244000.0,8438000.0,2664000.0,454686000.0,11.828216849861827,2.777117358108014,9.128853304828963,79.7883161777273,15.59441831744579,19.782472061263984,26.16046221740838,20.400749155223984,1.2823285075641215,5.672720296442018,1.3210667720340612,276.29186330832124,0.14566380170725052
2024-12-31,725516000.0,143525000.0,113140000.0,578877000.0,6340884000.0,5934289000.0,1246477000.0,996018000.0,5003275000.0,2098524000.0,0.0,146639000.0,465737000.0,117555000.0,7809000.0,157150000.0,742000.0,52120000.0,39638000.0,122999000.0,18058000.0,37938000.0,166217000.0,103000.0,575048000.0,259624000.0,427046000.0,8438000.0,2664000.0,526706000.0,12.42401669285737,2.518543464069743,9.696971705398418,79.7883161777273,15.59441831744579,19.782472061263984,24.913221839694998,19.65777957773711,1.2673466879194129,5.958013810995384,1.5439269997190987,236.41014119605907,0.1335718242019996
2025-03-31,883855000.0,214031000.0,176048000.0,710885000.0,6736917000.0,6282599000.0,1217944000.0,967443000.0,5424155000.0,993464000.0,0.0,172970000.0,534837000.0,134889000.0,5599000.0,223316000.0,742000.0,50441000.0,39669000.0,129669000.0,16909000.0,37938000.0,205301000.0,2330000.0,725205000.0,318556000.0,371061000.0,6622000.0,6184000.0,635207000.0,13.809775482744385,3.729749221894247,11.004976093200309,80.4300479150992,19.91819925213977,24.21562360341911,22.45407810064425,18.078655266199657,1.2420214761561938,6.4940249709802025,1.4582767897138322,250.29541893183836,0.15312808493696636
2025-06-30,1003697000.0,326727000.0,269317000.0,810763000.0,7365688000.0,6890393000.0,1340124000.0,1089640000.0,5928901000.0,929547000.0,0.0,192934000.0,541446000.0,135043000.0,3596000.0,332168000.0,742000.0,56255000.0,43523000.0,138176000.0,15760000.0,37938000.0,228298000.0,10774000.0,747484000.0,376784000.0,393623000.0,6622000.0,6184000.0,827808000.0,16.590294530997525,5.345422310597857,13.184208916885817,80.77766497259631,26.832500246588364,32.552353947456254,22.60324468227754,18.19414561138077,1.2423361429040558,6.323549979809846,1.4268987640947013,255.7995067236427,0.1598553159337859
2025-09-30,1181092000.0,475599000.0,393256000.0,973785000.0,8113960000.0,7586156000.0,1425691000.0,1180403000.0,6590457000.0,1615967000.0,0.0,207307000.0,580529000.0,144191000.0,3753000.0,480501000.0,742000.0,59762000.0,45706000.0,142790000.0,14611000.0,37938000.0,277783000.0,67503000.0,1005910000.0,316722000.0,381737000.0,6622000.0,6184000.0,1159882000.0,20.920260447666976,7.087636169881674,16.710520638259876,82.44785334249998,33.29596678328191,40.26773528226421,21.6326576442271,17.570840871781474,1.2311680358433414,6.426750863899872,1.4110846943286222,258.66625969865174,0.17016094949041052
