date,indicator,value,source,entity_type,entity_code,entity_name,extra_json
2022-08-31,icn_airline_cargo_tons_arrBaggage,539.0,ODP_B551177,airline,7C,제주항공,
2022-08-31,icn_airline_cargo_tons_arrBaggage,84.0,ODP_B551177,airline,AA,아메리칸항공,
2022-08-31,icn_airline_cargo_tons_arrBaggage,53614.0,ODP_B551177,airline,KE,대한항공,
2022-08-31,icn_airline_cargo_tons_arrBaggage,24607.0,ODP_B551177,airline,OZ,아시아나항공,
2022-08-31,icn_airline_cargo_tons_baggage,1184.0,ODP_B551177,airline,7C,제주항공,
2022-08-31,icn_airline_cargo_tons_baggage,332.0,ODP_B551177,airline,AA,아메리칸항공,
2022-08-31,icn_airline_cargo_tons_baggage,106129.0,ODP_B551177,airline,KE,대한항공,
2022-08-31,icn_airline_cargo_tons_baggage,47737.0,ODP_B551177,airline,OZ,아시아나항공,
2022-08-31,icn_airline_cargo_tons_depBaggage,644.0,ODP_B551177,airline,7C,제주항공,
2022-08-31,icn_airline_cargo_tons_depBaggage,248.0,ODP_B551177,airline,AA,아메리칸항공,
2022-08-31,icn_airline_cargo_tons_depBaggage,52515.0,ODP_B551177,airline,KE,대한항공,
2022-08-31,icn_airline_cargo_tons_depBaggage,23130.0,ODP_B551177,airline,OZ,아시아나항공,
2022-08-31,icn_airline_pax_arrPassenger,60177.0,ODP_B551177,airline,7C,제주항공,
2022-08-31,icn_airline_pax_arrPassenger,7085.0,ODP_B551177,airline,AA,아메리칸항공,
2022-08-31,icn_airline_pax_arrPassenger,262342.0,ODP_B551177,airline,KE,대한항공,
2022-08-31,icn_airline_pax_arrPassenger,179069.0,ODP_B551177,airline,OZ,아시아나항공,
2022-08-31,icn_airline_pax_depPassenger,52030.0,ODP_B551177,airline,7C,제주항공,
2022-08-31,icn_airline_pax_depPassenger,8186.0,ODP_B551177,airline,AA,아메리칸항공,
2022-08-31,icn_airline_pax_depPassenger,262967.0,ODP_B551177,airline,KE,대한항공,
2022-08-31,icn_airline_pax_depPassenger,165761.0,ODP_B551177,airline,OZ,아시아나항공,
2022-08-31,icn_airline_pax_passenger,112207.0,ODP_B551177,airline,7C,제주항공,
