,date,ticker,accounting_item,value
14639,2012-03-31,FORM,operatingIncome_yoy,-0.15484083321578035
14648,2012-06-30,FORM,operatingIncome_yoy,-0.3556194821942268
14662,2012-09-30,FORM,operatingIncome_yoy,0.4628759868092336
14666,2012-12-31,FORM,operatingIncome_yoy,-0.10825459083615618
14680,2013-03-31,FORM,operatingIncome_yoy,0.14109268944030262
14690,2013-06-30,FORM,operatingIncome_yoy,0.31003694581280783
14702,2013-09-30,FORM,operatingIncome_yoy,-0.25780449484254386
14718,2013-12-31,FORM,operatingIncome_yoy,-0.2440321484265664
14729,2014-03-31,FORM,operatingIncome_yoy,-0.39463676255485125
14738,2014-06-30,FORM,operatingIncome_yoy,-0.4947121034077556
14743,2014-09-30,FORM,operatingIncome_yoy,-0.9559134836631386
14760,2014-12-31,FORM,operatingIncome_yoy,-0.8221199619168518
14773,2015-03-31,FORM,operatingIncome_yoy,-0.9450708762886598
14787,2015-06-30,FORM,operatingIncome_yoy,-1.162093023255814
14793,2015-09-30,FORM,operatingIncome_yoy,6.008350730688935
14808,2015-12-31,FORM,operatingIncome_yoy,-0.7737139458816533
14824,2016-03-31,FORM,operatingIncome_yoy,18.90175953079179
14834,2016-06-30,FORM,operatingIncome_yoy,-10.535150645624103
14839,2016-09-30,FORM,operatingIncome_yoy,2.9195710455764075
14862,2016-12-31,FORM,operatingIncome_yoy,18.093298291721418
14878,2017-06-30,FORM,operatingIncome_yoy,-1.5200766227068445
14895,2017-09-30,FORM,operatingIncome_yoy,-2.084207326341389
14897,2017-09-30,FORM,operatingIncome_yoy,-3.945982545892266
14899,2017-12-31,FORM,operatingIncome_yoy,-1.37143840330351
14921,2018-03-31,FORM,operatingIncome_yoy,-0.48519620342824765
14930,2018-06-30,FORM,operatingIncome_yoy,-0.4222891873946576
14934,2018-09-30,FORM,operatingIncome_yoy,-0.34333380064488994
14956,2018-12-31,FORM,operatingIncome_yoy,1.185658699277376
14967,2019-03-31,FORM,operatingIncome_yoy,1.0952118877270225
14973,2019-06-30,FORM,operatingIncome_yoy,-0.20475643179206082
14983,2019-09-30,FORM,operatingIncome_yoy,-0.003522630230572199
14996,2019-12-31,FORM,operatingIncome_yoy,1.0106815869786367
15011,2020-03-31,FORM,operatingIncome_yoy,1.4205411084843709
