SARIMA,ETS,Theta,Ensemble,ticker,date
132820127852.41664,142502121716.2042,119426450223.44156,131582899930.68748,192440,2025-10-05
118874164671.2647,145415067844.3193,131199128497.73164,131829453671.1052,192440,2025-10-06
113819794033.80444,141769764378.49957,125195424026.30736,126928327479.53712,192440,2025-10-07
129234083036.81892,159970851012.6479,129441763924.16884,139548899324.5452,192440,2025-10-08
133025057121.06236,152982036329.7562,127745211562.7446,137917435004.52103,192440,2025-10-09
1996869230.739444,859158249.5043881,2260728470.991365,1705585317.078399,193250,2025-10-01
2137053291.9330156,982653318.6353524,2220209484.22373,1779972031.597366,193250,2025-10-02
2888169118.182458,4185675528.9061394,2179690497.4560947,3084511714.848231,193250,2025-10-03
2362248745.871249,1326756126.7336817,2139171510.68846,1942725461.097797,193250,2025-10-04
2255243935.348705,734081442.1872392,2098652523.9208243,1695992633.8189228,193250,2025-10-05
2333158718.1624265,245110797.86570036,2058133537.1531897,1545467684.393772,193250,2025-10-06
2130889281.5820136,-702551374.9073501,2017614550.3855543,1148650819.0200727,193250,2025-10-07
2068205940.7544808,-1282507919.504995,1977095563.6179197,920931194.9558016,193250,2025-10-08
2089415655.4470348,-1159012850.3740308,1936576576.8502843,955659793.9744296,193250,2025-10-09
0.0,354031597275.1284,357566695003.3382,237199430759.4889,194370,2025-10-01
0.0,363662356364.4822,378615250080.9386,247425868815.14023,194370,2025-10-02
0.0,364673353150.8659,381930623828.3349,248867992326.40027,194370,2025-10-03
0.0,366527719897.7332,366097614838.8332,244208444912.1888,194370,2025-10-04
0.0,374990892494.2493,384551723264.7601,253180871919.66983,194370,2025-10-05
0.0,368551240780.49146,380180215262.1564,249577152014.21597,194370,2025-10-06
0.0,387124529391.5531,374932185506.6956,254018904966.0829,194370,2025-10-07
0.0,388907757925.42816,379676171153.68365,256194643026.3706,194370,2025-10-08
0.0,398538517014.782,400724726231.28406,266421081082.022,194370,2025-10-09
71642347290.64134,59260499621.640205,67185715149.07882,66029520687.120125,194480,2025-10-01
66928394463.57286,55472344775.40175,68020379413.59252,63473706217.52238,194480,2025-10-02
70891884111.57681,73076153203.11511,68855043678.10623,70941026997.59938,194480,2025-10-03
68350635761.90524,69136381339.37497,69689707942.61993,69058908347.96672,194480,2025-10-04
70169199621.70233,61582115134.08799,70524372207.13364,67425228987.64132,194480,2025-10-05
69003776133.46025,62352074116.29762,71359036471.64734,67571628907.13507,194480,2025-10-06
69632948768.74738,58782028280.181564,72193700736.16104,66869559261.696655,194480,2025-10-07
69027657885.60095,53932084412.35282,73028365000.67474,65329369099.54284,194480,2025-10-08
69488128166.83235,50143929566.114365,73863029265.18846,64498362332.71173,194480,2025-10-09
7045996618.538746,8542639322.887161,8508156291.355202,8032264077.593703,195990,2025-10-01
8507772224.377529,6880044013.669243,8509184602.242242,7965666946.763004,195990,2025-10-02
7687408121.418034,4435947698.432491,8510212913.129282,6877856244.326602,195990,2025-10-03
6497565945.223463,8233901516.000138,8511241224.016322,7747569561.746642,195990,2025-10-04
5555691868.310982,10347077721.43228,8512269534.903362,8138346374.882209,195990,2025-10-05
7640536682.083107,6798610936.4731865,8513297845.790402,7650815154.782231,195990,2025-10-06
5421394997.196117,11686740411.846788,8514326156.677443,8540820521.906783,195990,2025-10-07
5857901179.127201,9035816743.397278,8515354467.564483,7803024130.0296545,195990,2025-10-08
7299821158.27635,7373221434.179359,8516382778.451523,7729808456.969078,195990,2025-10-09
100480416957.98576,49629384446.909065,40868377037.467545,63659392814.12079,196170,2025-10-01
1159188000.7577171,29284721083.36599,41239632096.02724,23894513726.71698,196170,2025-10-02
17915163484.95793,26728938289.82254,41610887154.58693,28751662976.4558,196170,2025-10-03
140088081778.00424,68825678057.36206,41982142213.14662,83631967349.50432,196170,2025-10-04
164419587020.3107,96970165692.28488,42353397271.70632,101247716661.43396,196170,2025-10-05
14139311855.54532,35573509545.3827,42724652330.266014,30812491243.731342,196170,2025-10-06
138687850279.21854,54238892358.59989,43095907388.82571,78674216675.54805,196170,2025-10-07
232191547310.93625,64703362422.41362,43467162447.3854,113454024060.24509,196170,2025-10-08
-29747511123.11902,44358699058.87054,43838417505.94509,19483201813.89887,196170,2025-10-09
17548938007.65877,15578563081.716703,14642831629.348896,15923444239.574793,196490,2025-10-01
13298999972.4113,13631772100.857906,14715881670.132565,13882217914.467257,196490,2025-10-02
14263954248.140388,16679947853.53296,14788931710.91623,15244277937.52986,196490,2025-10-03
16353787822.04894,19244086698.285664,14861981751.699896,16819952090.678167,196490,2025-10-04
16832575397.916803,22812967492.52173,14935031792.483562,18193524894.30737,196490,2025-10-05
13527161284.957838,13935699543.59029,15008081833.26723,14156980887.271784,196490,2025-10-06
14637532042.617855,14533450642.404469,15081131874.050896,14750704853.024406,196490,2025-10-07
14493452040.343887,16936705370.798498,15154181914.834564,15528113108.658983,196490,2025-10-08
13846308307.069897,14989914389.9397,15227231955.61823,14687818217.542608,196490,2025-10-09
10377654029.705175,12580443725.704428,11544212169.271132,11500769974.893578,196700,2025-10-01
10270242614.94272,12369053661.078005,11618706997.518784,11419334424.513168,196700,2025-10-02
9984985568.872318,12440687978.791676,11693201825.766438,11372958457.810144,196700,2025-10-03
10513131324.47682,12412733487.240547,11767696654.014091,11564520488.577154,196700,2025-10-04
10435828489.053738,13155261809.83254,11842191482.261744,11811093927.04934,196700,2025-10-05
10702452124.897274,11685587609.958872,11916686310.509398,11434908681.788515,196700,2025-10-06
11118952504.216145,12964227779.033052,11991181138.75705,12024787140.668749,196700,2025-10-07
11201992490.717438,14234281686.981413,12065675967.004704,12500650048.234518,196700,2025-10-08
10971615107.49867,14022891622.354988,12140170795.252356,12378225841.702003,196700,2025-10-09
158787599205.80753,155965481114.21774,160641921911.61646,158465000743.88058,200130,2025-10-01
159243053308.85034,162334729065.748,161548960887.46094,161042247754.01974,200130,2025-10-02
162371911076.6601,174251724904.97366,168761060341.26465,168461565440.96616,200130,2025-10-03
154637368589.0715,149691587966.42352,151292497263.80304,151873817939.76602,200130,2025-10-04
158184600235.4189,161011492638.9529,159226870762.57956,159474321212.31714,200130,2025-10-05
163073347497.7774,160897921017.0035,159062875126.45126,161011381213.74405,200130,2025-10-06
164412577098.26587,171748810268.1527,167895158965.323,168018848777.2472,200130,2025-10-07
168362403860.8626,167442425081.93295,171452044465.3852,169085624469.3936,200130,2025-10-08
168855632947.06427,173811673033.4632,172359083441.2297,171675463140.58572,200130,2025-10-09
12139098134.181026,8732453204.258844,9884816960.071024,10252122766.170298,200230,2025-10-01
12556165419.166012,9583861552.702158,9936852285.88679,10692293085.91832,200230,2025-10-02
10756051725.017736,12222084427.03642,9988887611.702557,10989007921.252235,200230,2025-10-03
9300178270.16808,12124647542.36346,10040922937.518318,10488582916.683289,200230,2025-10-04
9344343447.203371,13192093119.69881,10092958263.334084,10876464943.412088,200230,2025-10-05
10851075384.326649,12955794698.678858,10144993589.149849,11317287890.71845,200230,2025-10-06
11355545724.708998,11969143427.599377,10197028914.965614,11173906022.424662,200230,2025-10-07
