ticker,reported_currency,is_foreign
TDC,USD,False
TDG,USD,False
TDOC,USD,False
TDS,USD,False
TDW,USD,False
TDY,USD,False
TEAM,USD,False
TECH,USD,False
TECK,CAD,True
TEF,EUR,True
TEL,USD,False
TELL,USD,False
TEN,USD,False
TEO,ARS,True
TER,USD,False
TEVA,USD,False
TEX,USD,False
TFII,USD,False
TFX,USD,False
TGB,CAD,True
TGH,USD,False
TGI,USD,False
TGLS,USD,False
TGNA,USD,False
TGS,ARS,True
TGT,USD,False
TGTX,USD,False
THC,USD,False
THM,USD,False
THO,USD,False
THR,USD,False
THRM,USD,False
THS,USD,False
TILE,USD,False
TIMB,BRL,True
TITN,USD,False
TJX,USD,False
TK,USD,False
TKC,TRY,True
TKR,USD,False
TLK,IDR,True
TM,JPY,True
TMHC,USD,False
TMO,USD,False
TMQ,USD,False
TMST,USD,False
TMUS,USD,False
TNC,USD,False
TNDM,USD,False
TNET,USD,False
TNK,USD,False
TNL,USD,False
TNP,USD,False
TOL,USD,False
TPC,USD,False
TPH,USD,False
TPL,USD,False
TPR,USD,False
TPX,USD,False
TR,USD,False
TRC,USD,False
TREX,USD,False
TRGP,USD,False
TRI,USD,False
TRIP,USD,False
TRMB,USD,False
TRN,USD,False
TRNO,USD,False
TRNS,USD,False
TROO,USD,False
TROX,USD,False
TRP,CAD,True
TRS,USD,False
TRTN,USD,False
TRU,USD,False
TRX,CAD,True
TS,USD,False
TSAT,CAD,True
TSCO,USD,False
TSEM,USD,False
TSLA,USD,False
TSM,TWD,True
TSN,USD,False
TT,USD,False
TTC,USD,False
TTE,USD,False
TTEK,USD,False
TTGT,USD,False
TTI,USD,False
TTMI,USD,False
TTWO,USD,False
TU,CAD,True
TV,MXN,True
TVPT,USD,False
TVTX,USD,False
TWI,USD,False
TWNK,USD,False
TWO,USD,False
TWTR,USD,False
TX,USD,False
TXN,USD,False
TXRH,USD,False
TXT,USD,False
TYL,USD,False
UAA,USD,False
UAL,USD,False
UAMY,USD,False
UAN,USD,False
UBA,USD,False
UBP,USD,False
UCTT,USD,False
UDR,USD,False
UE,USD,False
UEC,USD,False
UFPI,USD,False
UFPT,USD,False
UGP,BRL,True
UHAL,USD,False
UHS,USD,False
UHT,USD,False
UI,USD,False
UL,EUR,True
ULH,USD,False
ULS,USD,False
ULTA,USD,False
UMC,TWD,True
UMH,USD,False
UNF,USD,False
UNFI,USD,False
UNH,USD,False
UNIT,USD,False
UNP,USD,False
UNVR,USD,False
UPBD,USD,False
UPS,USD,False
URBN,USD,False
URG,USD,False
URI,USD,False
USAC,USD,False
USAP,USD,False
USAS,USD,False
USLM,USD,False
USM,USD,False
USNA,USD,False
USPH,USD,False
UTHR,USD,False
UTI,USD,False
UUUU,USD,False
UVV,USD,False
VAC,USD,False
VALE,USD,False
VC,USD,False
VCEL,USD,False
VCYT,USD,False
VEC,USD,False
VECO,USD,False
VEEV,USD,False
VEON,USD,False
VERB,USD,False
VET,CAD,True
VFC,USD,False
VGR,USD,False
VGZ,USD,False
VHI,USD,False
VIAC,USD,False
VIAV,USD,False
VICR,USD,False
VIK,USD,False
VIPS,CNY,True
VIV,BRL,True
VIVO,UNKNOWN,False
VKTX,USD,False
VLO,USD,False
VLRS,USD,False
VMC,USD,False
VMI,USD,False
VMW,USD,False
VNDA,USD,False
VNET,CNY,True
VNO,USD,False
VNOM,USD,False
VOD,EUR,True
VOLT,UNKNOWN,False
VPG,USD,False
VRDN,USD,False
VRE,USD,False
VRN,CAD,True
VRNS,USD,False
VRNT,USD,False
VRSK,USD,False
