,date_month_end,hs_code_6d,expDlr,ticker,market_cap_billions,revenue_billions,revenue_ttm_billions,revenue_ttm_shift,PSR_ttm
22,2014-11-30,851762,1478150000.0,MMM,85.38,8.14,31.671,31.671,2.6958416216728236
23,2014-12-31,851762,1600740000.0,MMM,87.4,7.72,31.821,31.671,2.759622367465505
24,2015-01-31,851762,1516190000.0,MMM,86.33,7.72,31.821,31.671,2.725837516971362
25,2015-02-28,851762,1290510000.0,MMM,89.7,7.72,31.821,31.821,2.8188931837465825
26,2015-03-31,851762,1506350000.0,MMM,87.06,7.58,31.568,31.821,2.735929103422268
27,2015-04-30,851762,1591760000.0,MMM,82.54,7.58,31.568,31.821,2.593884541654882
28,2015-05-31,851762,1546770000.0,MMM,83.96,7.58,31.568,31.568,2.6596553471870243
29,2015-06-30,851762,1586300000.0,MMM,80.06,7.69,31.12,31.568,2.536112519006589
30,2015-07-31,851762,1649910000.0,MMM,78.52,7.69,31.12,31.568,2.487328940699442
31,2015-08-31,851762,1517860000.0,MMM,73.75,7.69,31.12,31.12,2.3698586118251925
32,2015-09-30,851762,1554550000.0,MMM,72.84,7.71,30.695,31.12,2.340616966580977
33,2015-10-31,851762,1598880000.0,MMM,80.77,7.71,30.695,31.12,2.5954370179948585
34,2015-11-30,851762,1482630000.0,MMM,80.44,7.71,30.695,30.695,2.620622251180974
35,2015-12-31,851762,1664250000.0,MMM,76.5,7.3,30.274,30.695,2.4922625834826517
36,2016-01-31,851762,1488080000.0,MMM,76.68,7.3,30.274,30.695,2.4981267307379054
37,2016-02-29,851762,1332620000.0,MMM,79.67,7.3,30.274,30.274,2.631631102596287
38,2016-03-31,851762,1588490000.0,MMM,84.55,7.41,30.105,30.274,2.7928255268547266
39,2016-04-30,851762,1410890000.0,MMM,84.93,7.41,30.105,30.274,2.8053775516945234
40,2016-05-31,851762,1350310000.0,MMM,85.41,7.41,30.105,30.105,2.8370702541106128
41,2016-06-30,851762,1654320000.0,MMM,88.49,7.66,30.081,30.105,2.939378840724132
42,2016-07-31,851762,1572960000.0,MMM,90.13,7.66,30.081,30.105,2.9938548413884734
43,2016-08-31,851762,1658210000.0,MMM,90.58,7.66,30.081,30.081,3.011203085003823
44,2016-09-30,851762,1713400000.0,MMM,88.43,7.71,30.078,30.081,2.939729397293973
45,2016-10-31,851762,1805670000.0,MMM,82.95,7.71,30.078,30.081,2.757554602573053
46,2016-11-30,851762,1517940000.0,MMM,86.18,7.71,30.078,30.078,2.8652171022009445
47,2016-12-31,851762,1764430000.0,MMM,89.61,7.33,30.109,30.078,2.979253939756633
48,2017-01-31,851762,1364710000.0,MMM,87.42,7.33,30.109,30.078,2.9064432475563535
49,2017-02-28,851762,1218880000.0,MMM,93.18,7.33,30.109,30.109,3.0947557208807996
50,2017-03-31,851762,1578960000.0,MMM,95.68,7.68,30.385,30.109,3.1777873725464145
51,2017-04-30,851762,1343280000.0,MMM,97.93,7.68,30.385,30.109,3.2525158590454684
52,2017-05-31,851762,1347500000.0,MMM,102.25,7.68,30.385,30.385,3.3651472766167516
53,2017-06-30,851762,1508420000.0,MMM,104.02,7.81,30.533,30.385,3.4233997038012176
54,2017-07-31,851762,1509790000.0,MMM,100.51,7.81,30.533,30.385,3.3078821787065986
55,2017-08-31,851762,1530460000.0,MMM,102.09,7.81,30.533,30.533,3.343595454098844
56,2017-09-30,851762,1506690000.0,MMM,104.87,8.17,30.996,30.533,3.4346444830183738
57,2017-10-31,851762,1526120000.0,MMM,114.8,8.17,30.996,30.533,3.759866374087053
58,2017-11-30,851762,1480320000.0,MMM,121.26,8.17,30.996,30.996,3.9121176926054977
59,2017-12-31,851762,1686140000.0,MMM,117.39,7.99,31.657,30.996,3.7872628726287263
60,2018-01-31,851762,1358390000.0,MMM,124.87,7.99,31.657,30.996,4.0285843334623825
61,2018-02-28,851762,1301720000.0,MMM,117.39,7.99,31.657,31.657,3.708184603721136
62,2018-03-31,851762,1619110000.0,MMM,109.43,8.28,32.25,31.657,3.45673942571943
63,2018-04-30,851762,1401400000.0,MMM,96.11,8.28,32.25,31.657,3.035979404239189
64,2018-05-31,851762,1352070000.0,MMM,97.52,8.28,32.25,32.25,3.023875968992248
65,2018-06-30,851762,1568650000.0,MMM,97.27,8.39,32.83,32.25,3.016124031007752
66,2018-07-31,851762,1558560000.0,MMM,103.96,8.39,32.83,32.25,3.223565891472868
67,2018-08-31,851762,1433220000.0,MMM,103.26,8.39,32.83,32.83,3.145293938470911
68,2018-09-30,851762,1479370000.0,MMM,103.17,8.15,32.81,32.83,3.1425525434054222
69,2018-10-31,851762,1504870000.0,MMM,92.37,8.15,32.81,32.83,2.8135851355467563
70,2018-11-30,851762,1557510000.0,MMM,100.95,8.15,32.81,32.81,3.0768058518744286
71,2018-12-31,851762,1632480000.0,MMM,92.0,7.95,32.765,32.81,2.804023163669613
72,2019-01-31,851762,1342320000.0,MMM,96.71,7.95,32.765,32.81,2.9475769582444373
73,2019-02-28,851762,1224080000.0,MMM,100.13,7.95,32.765,32.765,3.0560048832595754
74,2019-03-31,851762,1539820000.0,MMM,100.32,7.86,32.35,32.765,3.0618037540057985
75,2019-04-30,851762,1333850000.0,MMM,91.53,7.86,32.35,32.765,2.793529681062109
76,2019-05-31,851762,1378830000.0,MMM,77.16,7.86,32.35,32.35,2.38516228748068
77,2019-06-30,851762,1405960000.0,MMM,83.73,8.17,32.131,32.35,2.588253477588872
78,2019-07-31,851762,1444770000.0,MMM,84.22,8.17,32.131,32.35,2.6034003091190105
79,2019-08-31,851762,1391980000.0,MMM,77.95,8.17,32.131,32.131,2.4260060377828268
80,2019-09-30,851762,1381850000.0,MMM,79.21,7.99,31.97,32.131,2.4652205035635366
81,2019-10-31,851762,1566330000.0,MMM,79.49,7.99,31.97,32.131,2.4739348292925833
82,2019-11-30,851762,1300120000.0,MMM,81.8,7.99,31.97,31.97,2.558648733187363
83,2019-12-31,851762,1499220000.0,MMM,85.08,8.11,32.136,31.97,2.6612449171097903
84,2020-01-31,851762,1265130000.0,MMM,76.51,8.11,32.136,31.97,2.3931811072880826
85,2020-02-29,851762,1186210000.0,MMM,71.97,8.11,32.136,32.136,2.2395444361463777
86,2020-03-31,851762,1380110000.0,MMM,65.85,8.07,32.348,32.136,2.0491038088125464
87,2020-04-30,851762,1093810000.0,MMM,73.29,8.07,32.348,32.136,2.280619865571322
88,2020-05-31,851762,1062620000.0,MMM,75.47,8.07,32.348,32.348,2.3330654136268083
89,2020-06-30,851762,1329060000.0,MMM,75.36,7.18,31.353,32.348,2.329664894274762
90,2020-07-31,851762,1300560000.0,MMM,72.69,7.18,31.353,32.348,2.247125015456906
91,2020-08-31,851762,1144690000.0,MMM,78.75,7.18,31.353,31.353,2.511721366376423
92,2020-09-30,851762,1311150000.0,MMM,77.5,8.35,31.712,31.353,2.471852773259337
93,2020-10-31,851762,1422810000.0,MMM,77.4,8.35,31.712,31.353,2.46866328580997
94,2020-11-30,851762,1286370000.0,MMM,83.58,8.35,31.712,31.712,2.635595358224016
95,2020-12-31,851762,1413960000.0,MMM,84.83,8.58,32.184,31.712,2.6750126135216954
96,2021-01-31,851762,1259220000.0,MMM,85.25,8.58,32.184,31.712,2.6882568113017156
97,2021-02-28,851762,1152090000.0,MMM,84.96,8.58,32.184,32.184,2.639821029082774
98,2021-03-31,851762,1495580000.0,MMM,93.59,8.85,32.96,32.184,2.9079666915237388
99,2021-04-30,851762,1379590000.0,MMM,95.76,8.85,32.96,32.184,2.9753914988814323
100,2021-05-31,851762,1278340000.0,MMM,98.63,8.85,32.96,32.96,2.992415048543689
101,2021-06-30,851762,1349960000.0,MMM,96.25,8.95,34.734,32.96,2.9202063106796117
