date,revenue,net_income,operating_income,gross_profit,total_assets,current_assets,total_liabilities,current_liabilities,stockholders_equity,cash,long_term_debt,cost_of_revenue,operating_expenses,research_development
2014-06-28,,7.748,10.282,14.735,222.52,67.949,101.58,46.205,120.94,12.977,29.03,22.697,4.453,1.603
2014-09-27,,,,,231.839,68.531,120.292,63.448,111.547,13.844,28.987,,,
2014-12-27,,18.024,24.246,29.741,261.894,83.403,138.566,73.611,123.328,19.478,32.504,44.858,5.495,1.895
2015-03-28,,31.593,18.278,53.397,261.194,67.891,132.188,58.729,129.006,14.489,40.072,34.354,5.378,1.918
2015-06-27,,10.677,56.607,19.681,273.151,70.953,147.474,65.285,125.677,15.319,,109.136,16.471,5.847
2015-09-26,,,,,290.479,89.378,171.124,80.61,119.355,21.12,,,,
2015-12-26,,18.361,24.171,30.423,293.284,76.219,165.017,76.092,128.267,16.689,,45.449,6.252,2.404
2016-03-26,,28.877,13.987,50.344,305.277,87.592,174.82,68.265,130.457,21.514,,30.636,5.934,2.511
2016-06-25,,7.796,10.105,16.106,305.602,93.761,179.061,71.486,126.541,18.237,,26.252,6.001,2.56
2016-09-24,,,,,321.686,106.869,193.437,79.006,128.249,20.484,,,,
2016-12-31,,17.891,23.359,30.176,331.141,103.332,198.751,84.13,132.39,16.371,,48.175,6.817,2.871
2017-04-01,,28.92,37.456,50.767,334.532,101.99,200.45,73.342,134.082,15.157,,80.48,13.311,5.647
2017-07-01,,8.717,10.768,17.488,345.173,112.875,212.748,81.302,132.425,18.571,,27.92,6.72,2.937
2017-09-30,,,,,375.319,128.645,241.272,100.814,134.047,20.289,,,,
2017-12-30,88.293,20.065,26.274,33.912,406.794,143.81,266.595,115.788,140.199,27.491,,54.381,7.638,3.407
2018-03-31,149.43,33.887,42.168,57.334,367.502,130.053,240.624,89.32,126.878,45.059,,92.096,15.166,6.785
2018-06-30,202.695,11.519,12.612,20.421,349.197,115.761,234.248,88.548,114.949,31.971,,32.844,7.809,3.701
2018-09-29,,,,,365.725,131.339,258.578,115.929,107.147,25.913,,,,
2018-12-29,84.31,19.965,23.346,32.031,373.719,140.828,255.827,108.283,117.892,44.771,,52.279,8.685,3.902
2019-03-30,142.325,31.526,36.761,53.852,341.998,123.346,236.138,93.772,105.86,37.988,,88.473,17.091,7.85
2019-06-29,53.809,10.044,11.544,20.227,322.239,134.973,225.783,89.704,96.456,50.53,,33.582,8.683,4.257
2019-09-28,,,,,338.516,162.819,248.028,105.718,90.488,48.844,,,,
2019-12-28,91.819,22.236,25.569,35.217,340.618,163.231,251.087,102.161,89.531,39.771,,56.602,9.648,4.451
2020-03-28,58.313,11.249,38.422,22.37,320.4,143.753,241.975,96.094,78.425,40.174,,92.545,19.165,9.016
2020-06-27,209.817,44.738,13.091,80.267,317.344,140.065,245.062,95.318,72.282,33.383,,37.005,9.589,4.758
2020-09-26,,,,,323.888,143.713,258.549,105.392,65.339,38.016,,,,
2020-12-26,111.439,28.755,33.534,44.328,354.054,154.106,287.83,132.507,66.224,36.01,,67.111,10.794,5.163
2021-03-27,89.584,52.385,61.037,82.407,337.158,121.465,267.98,106.385,69.178,38.466,,118.616,21.37,10.425
2021-06-26,282.457,21.744,85.163,35.255,329.84,114.423,265.56,107.754,64.28,34.05,,164.795,32.499,16.142
2021-09-25,,,,,351.002,134.836,287.912,125.481,63.09,34.94,118.7,,,
2021-12-25,123.945,34.63,41.488,54.243,381.191,153.154,309.259,147.574,71.932,37.119,117.8,69.702,12.755,6.306
2022-03-26,97.278,25.01,71.467,42.559,350.662,118.18,283.263,127.508,67.399,28.098,113.0,124.421,25.335,12.693
2022-06-25,304.182,79.082,94.543,132.687,336.309,112.292,278.202,129.873,58.107,27.502,108.7,171.495,38.144,19.49
2022-09-24,,,,,352.755,135.405,302.083,153.982,50.672,23.646,110.1,,,
2022-12-31,117.154,29.998,36.016,50.332,346.747,128.777,290.02,137.286,56.727,20.535,109.4,66.822,14.316,7.709
2023-04-01,94.836,54.158,64.334,92.308,332.16,112.913,270.002,120.075,62.158,24.687,107.6,119.682,27.974,15.166
2023-07-01,293.787,74.039,87.332,128.721,335.038,122.659,274.764,124.963,60.274,28.408,105.3,165.066,41.389,22.608
2023-09-30,,,,,352.583,143.566,290.437,145.308,62.146,29.965,105.1,,,
2023-12-30,119.575,33.916,40.373,54.855,353.514,143.692,279.414,133.973,74.1,40.76,106.0,64.72,14.482,7.696
2024-03-30,90.753,57.552,68.273,97.126,337.411,128.416,263.217,123.822,74.194,32.695,102.6,113.202,28.853,15.599
2024-06-29,296.105,79.0,93.625,136.804,331.612,125.435,264.904,131.624,66.708,25.565,98.3,159.301,43.179,23.605
2024-09-28,,,,,364.98,152.987,308.03,176.392,56.95,29.943,96.7,,,
2024-12-28,124.3,36.33,42.832,58.275,344.085,133.24,277.327,144.365,66.758,30.299,94.8,66.025,15.443,8.268
2025-03-29,219.659,61.11,72.421,103.142,331.233,118.674,264.437,144.571,66.796,28.162,92.2,116.517,30.721,16.818
2025-06-28,94.036,23.434,28.202,43.718,331.495,122.491,265.665,141.12,65.83,36.269,91.8,50.318,15.516,8.866
